Healthy	Unhealthy	Background_Blue	Background_Dark
92,154,68	186,177,84	60,89,149	11,10,8
84,145,42	140,141,123	57,83,144	11,10,8
84,145,42	145,146,128	39,64,105	13,12,10
84,145,42	147,149,128	35,63,102	11,10,8
72,133,56	179,158,111	33,61,100	12,11,9
73,131,54	175,157,107	32,60,97	14,13,11
77,135,58	168,151,99	31,59,96	14,14,12
62,117,36	224,209,170	60,93,172	35,30,26
63,117,39	218,203,162	57,94,174	42,35,29
65,117,42	212,195,152	56,92,176	49,40,33
63,129,39	213,198,157	53,89,173	52,43,36
60,127,34	212,199,157	47,84,162	50,39,33
56,126,30	215,201,162	62,98,194	14,13,11
81,141,67	137,114,83	62,93,183	16,15,13
76,137,60	136,113,81	65,97,182	18,18,16
73,135,58	139,114,83	68,98,186	20,20,18
63,128,28	178,182,97	69,98,178	22,22,20
61,126,26	174,178,93	45,59,85	15,9,9
61,126,26	174,178,91	45,59,85	12,8,7
90,147,66	186,173,81	44,60,86	9,7,8
90,152,67	184,173,83	45,62,88	9,9,9
92,152,66	187,176,86	45,62,90	10,8,9
87,148,45	144,143,123	34,44,53	12,12,12
87,145,43	146,145,124	34,44,54	12,12,12
85,146,43	145,144,123	30,43,52	12,12,12
85,142,61	178,157,110	28,42,51	11,11,13
84,143,61	176,158,108	28,42,53	10,10,12
82,144,61	170,154,103	50,82,165	3,5,4
65,135,37	222,207,168	50,81,161	2,4,3
64,134,38	223,208,169	47,78,158	2,4,3
66,133,36	222,205,162	50,79,159	3,5,4
83,150,55	214,199,158	48,77,153	3,5,2
83,150,55	214,199,158	37,69,156	10,10,10
84,151,56	216,201,162	33,65,152	8,8,8
85,143,58	136,113,82	32,63,146	7,7,7
84,139,55	138,115,83	30,61,143	7,7,7
84,139,55	139,114,83	31,62,145	8,8,8
73,141,42	177,181,96	50,79,137	47,30,22
76,144,45	172,176,91	49,75,132	50,31,24
73,143,45	171,175,88	46,71,127	52,33,26
69,142,37	183,167,80	43,68,122	54,37,29
70,142,42	185,171,83	42,63,116	47,33,24
71,143,41	187,176,87	28,52,98	5,5,5
86,143,62	201,205,110	29,53,99	5,5,5
83,142,60	201,205,108	30,54,102	5,5,5
81,143,60	200,204,109	33,55,104	5,5,5
66,136,38	194,165,97	31,53,103	5,5,5
65,135,39	194,165,97	64,92,157	43,29,20
66,133,36	192,162,98	69,94,161	43,30,22
80,147,54	188,182,88	75,102,179	40,30,21
81,148,53	189,182,91	70,98,171	42,31,27
81,148,53	190,183,93	54,83,139	43,33,32
80,138,51	136,123,88	37,65,105	8,8,10
81,139,54	135,123,85	33,61,101	7,7,7
86,141,57	138,129,86	33,61,101	7,7,7
74,140,40	205,203,118	30,59,99	7,7,5
76,144,45	200,203,116	32,61,101	7,7,7
75,143,44	199,202,113	58,90,167	10,10,10
70,140,42	93,80,64	53,90,171	8,10,9
72,142,46	90,74,59	50,86,170	8,10,7
73,143,45	90,73,57	47,83,167	8,10,7
89,146,65	166,167,151	46,82,166	8,10,7
83,144,64	162,163,147	69,102,209	3,5,4
81,143,60	160,161,145	67,99,186	2,4,3
66,136,40	199,203,108	67,100,195	2,4,3
66,136,40	201,205,108	67,99,186	3,5,2
64,134,36	200,204,109	71,101,187	4,6,3
80,147,52	195,164,97	39,56,84	10,10,12
81,148,53	196,167,101	40,57,85	9,9,11
80,147,52	195,165,103	43,60,88	8,8,10
79,137,50	183,177,83	44,61,89	6,6,8
80,138,53	189,183,87	41,60,90	8,8,10
86,141,57	194,187,96	31,41,51	47,30,22
76,142,42	140,130,94	32,42,52	49,30,23
75,143,44	142,134,95	30,43,52	51,34,24
74,142,43	150,143,101	28,42,53	49,35,22
71,140,47	204,204,114	27,41,54	45,31,22
73,142,51	202,205,114	71,108,223	5,5,5
75,144,51	199,204,112	71,111,242	5,5,5
91,146,62	93,80,64	76,115,255	5,5,5
89,148,56	91,75,60	71,108,248	5,5,5
84,147,56	93,77,61	70,105,255	5,5,5
97,154,77	148,149,135	64,105,255	43,28,21
87,149,63	148,150,136	63,105,249	43,30,24
73,140,45	148,152,137	60,102,222	43,34,25
62,133,37	197,201,107	59,97,208	44,35,28
60,131,35	199,203,108	57,97,208	44,34,32
63,133,37	200,204,110	27,43,66	7,7,9
62,133,37	196,166,94	26,43,63	7,7,7
65,136,42	197,166,101	25,43,65	7,7,7
72,143,49	198,166,107	26,44,66	7,7,7
70,134,50	185,178,87	24,45,66	7,7,7
70,134,50	187,181,85	34,51,67	9,11,8
72,136,50	190,184,90	34,50,66	9,11,8
66,131,41	141,133,96	35,48,65	8,10,7
65,128,37	150,142,103	35,48,65	8,10,7
60,123,32	156,151,109	41,50,67	8,10,7
62,128,38	205,205,115	62,88,163	4,4,4
63,127,40	201,204,113	61,88,155	3,3,3
65,127,42	202,207,113	62,91,151	2,4,3
84,144,54	103,94,77	74,98,168	3,5,4
82,146,50	98,86,70	82,105,183	5,5,3
79,145,48	97,84,67	22,30,49	10,10,10
92,151,71	132,130,115	21,28,47	8,8,8
83,147,60	136,139,122	20,27,46	9,7,10
72,139,44	140,144,129	19,26,45	8,6,9
65,134,41	108,93,90	19,26,45	8,8,8
63,132,39	110,92,90	45,70,137	57,40,32
64,133,40	115,95,94	43,72,138	57,40,32
60,131,35	195,176,134	42,73,140	53,36,26
63,134,40	199,180,140	39,73,137	51,37,24
72,143,49	198,180,142	39,72,141	47,33,24
68,133,49	184,161,109	56,83,160	7,6,4
68,134,47	177,154,102	55,82,159	7,6,4
71,137,50	175,152,102	55,84,160	7,6,4
70,133,44	135,106,100	52,84,159	6,5,3
65,128,39	148,119,113	55,88,167	5,5,5
63,126,35	149,120,112	69,106,247	43,28,23
62,128,38	160,165,107	71,112,254	45,32,26
62,126,39	165,170,114	73,114,254	44,33,27
65,127,42	166,169,114	71,109,252	43,32,28
86,146,56	184,188,114	73,109,255	44,33,29
79,143,47	183,185,110	73,114,255	7,7,7
78,144,47	182,185,106	71,112,254	7,7,7
93,152,72	178,173,81	67,104,236	7,7,7
83,147,60	178,174,83	60,96,193	7,7,7
72,139,44	181,177,90	60,98,207	7,7,7
69,138,45	112,96,96	24,40,63	8,10,7
68,137,44	112,94,94	24,40,63	7,9,6
67,136,43	112,92,91	24,42,66	7,9,6
60,131,35	196,175,130	24,42,66	7,9,6
60,134,37	197,176,133	22,42,66	8,8,6
67,141,44	195,176,136	36,52,68	4,4,4
69,134,50	182,159,107	35,51,67	4,4,4
69,135,48	175,152,100	37,50,67	3,3,3
69,135,48	172,149,99	37,50,66	4,4,2
71,134,45	132,102,92	39,50,68	4,4,2
71,131,43	138,110,99	58,86,159	11,11,11
68,128,38	139,111,99	59,88,158	9,7,8
62,128,38	163,167,108	61,90,158	9,7,8
61,126,36	162,165,108	68,95,164	9,7,8
62,126,39	156,159,102	71,99,173	9,7,8
82,144,43	179,187,112	20,27,46	75,58,50
83,145,44	183,190,113	19,26,45	67,48,41
85,145,45	183,187,110	18,25,44	55,38,28
84,149,59	183,176,86	18,25,44	52,38,25
83,149,59	185,179,91	18,25,44	51,37,28
81,150,59	185,179,91	47,72,136	8,7,5
107,169,94	116,100,100	48,76,141	8,7,5
102,163,86	111,93,93	47,76,146	7,6,4
102,160,83	110,90,89	43,73,143	6,6,4
92,153,83	191,170,125	43,73,145	6,6,4
93,155,80	191,170,127	53,80,157	42,27,20
93,156,77	191,172,132	51,79,152	44,31,25
84,141,62	180,157,105	54,81,158	48,33,30
80,137,56	171,148,98	55,84,162	46,32,31
80,137,58	167,144,94	58,89,171	46,32,31
80,141,46	135,105,94	64,109,254	8,8,8
75,137,40	135,107,95	71,111,255	7,7,7
72,137,35	134,106,92	75,114,253	7,7,5
110,164,76	167,168,108	72,113,255	7,7,5
100,159,67	164,165,105	73,112,249	7,7,7
89,153,57	159,160,100	82,122,255	7,9,6
78,140,39	179,187,112	77,116,253	7,9,6
80,142,41	183,190,113	77,112,255	6,8,5
83,143,43	184,188,111	62,101,196	7,7,5
77,142,52	185,178,88	61,101,199	7,7,5
77,143,53	185,179,91	22,37,60	4,4,2
76,145,54	185,179,91	23,39,62	4,4,2
109,171,98	214,193,84	22,40,64	4,4,2
109,169,95	214,193,84	22,40,64	4,4,2
104,162,86	215,194,85	20,40,64	4,4,2
88,149,79	200,202,129	37,53,69	11,11,11
90,152,77	198,200,127	37,53,69	8,8,8
95,158,79	196,198,125	40,53,70	8,8,8
85,142,61	195,193,110	40,53,69	7,7,7
79,137,52	192,187,103	39,50,68	8,8,10
77,134,53	188,182,98	55,85,158	71,54,47
84,143,49	197,199,134	55,86,151	66,47,41
82,143,48	198,201,134	52,83,147	54,35,28
81,143,44	198,200,135	57,87,149	52,35,25
107,162,71	185,158,103	61,90,160	53,39,30
99,158,66	182,157,100	19,26,45	8,7,5
92,153,60	183,158,101	17,24,43	6,6,4
75,140,36	214,196,94	17,24,43	6,6,4
76,141,39	214,197,93	18,25,44	7,7,5
79,141,40	214,197,93	18,25,44	7,7,5
77,140,51	214,196,88	50,74,136	40,25,20
75,141,51	214,196,88	50,75,139	41,28,22
73,142,51	215,194,87	48,77,145	42,27,24
102,162,90	200,202,129	48,77,147	45,31,30
108,166,92	200,202,129	49,79,152	46,35,33
102,160,84	201,202,132	56,83,160	9,9,9
86,150,76	203,198,116	55,82,161	8,8,6
86,150,72	200,194,110	55,82,161	7,7,5
91,154,73	195,187,104	54,83,163	7,7,5
83,140,59	198,201,134	59,87,171	7,7,7
78,136,51	198,201,134	69,115,253	6,8,5
75,132,51	199,202,135	76,115,254	7,9,6
89,148,56	185,160,104	81,119,252	7,9,6
91,152,59	188,163,107	76,117,255	7,7,5
86,148,51	188,163,107	78,117,254	7,7,5
101,160,66	215,197,95	79,121,255	14,8,8
101,157,66	215,197,95	73,111,255	12,8,7
97,156,64	212,198,93	68,108,255	14,10,9
109,161,89	215,197,89	63,99,209	14,10,9
105,157,85	214,196,88	64,100,222	14,10,9
95,147,75	214,193,86	21,38,58	9,9,9
104,158,82	197,199,126	21,38,58	9,9,9
105,159,83	201,202,132	21,39,61	9,7,8
101,158,81	206,207,139	22,40,62	11,9,10
82,137,56	203,198,114	21,41,65	9,10,12
82,137,56	202,196,112	39,55,71	16,14,15
81,138,57	198,190,107	39,55,71	20,18,19
97,155,71	197,200,131	42,55,72	27,26,22
95,153,69	201,204,137	43,56,73	35,32,27
93,148,67	203,206,139	43,54,74	36,28,25
100,155,64	189,164,108	62,86,158	9,9,11
102,156,70	190,165,111	62,92,165	8,8,8
104,158,74	190,165,111	57,90,157	8,10,9
77,141,47	215,197,97	53,85,146	10,10,12
75,139,45	214,196,96	54,86,161	10,10,10
70,136,39	211,196,93	19,26,45	20,15,11
74,132,47	175,152,138	18,25,44	21,13,10
76,136,48	178,155,141	18,25,44	21,13,10
76,136,46	172,146,131	18,25,44	20,12,10
107,159,87	143,109,84	19,26,45	19,11,9
103,155,83	145,111,84	51,71,132	10,9,7
97,149,77	151,118,87	50,74,134	10,9,7
102,156,81	168,147,142	51,79,144	12,11,9
102,156,81	174,150,146	51,80,146	12,11,9
99,155,80	171,146,141	52,80,153	11,10,8
81,138,57	189,155,130	56,82,159	20,12,10
81,138,59	190,156,131	55,82,161	17,12,9
80,137,56	181,150,122	56,83,160	18,13,10
96,154,70	198,173,133	57,84,161	18,13,10
98,153,70	195,171,133	62,91,169	19,14,11
92,150,66	194,170,132	77,119,255	7,7,5
99,154,63	120,121,107	78,117,255	7,8,3
103,157,71	132,130,117	83,123,255	7,8,3
108,162,78	143,140,125	81,124,254	8,8,8
83,147,53	164,138,103	85,124,255	9,9,11
76,140,46	171,145,108	78,116,239	18,16,17
70,136,39	183,158,118	67,106,207	22,21,19
71,131,41	179,156,140	62,102,198	30,27,22
76,136,46	182,159,143	63,102,203	35,30,24
77,140,49	171,148,130	61,102,210	40,31,26
105,158,86	148,114,89	22,39,59	8,8,10
100,153,81	146,112,85	21,39,59	8,8,8
100,151,82	146,112,84	22,40,62	8,9,11
99,152,80	173,154,148	20,41,62	9,10,14
98,151,79	176,155,150	21,41,65	11,11,13
97,153,80	172,149,143	38,55,73	18,13,9
78,135,54	189,155,128	40,56,72	19,11,8
80,137,58	188,154,127	44,57,74	20,12,9
81,138,59	184,153,124	46,59,76	20,12,10
97,155,71	195,171,133	45,58,77	16,11,8
99,154,71	193,169,131	59,88,154	13,9,8
94,152,68	191,167,129	69,102,181	14,10,9
98,152,64	125,123,110	77,108,216	15,11,8
101,153,68	130,128,113	61,93,166	15,11,8
108,160,77	138,135,120	52,84,157	14,10,7
83,148,56	165,141,107	19,27,46	29,18,12
77,142,48	177,153,115	19,26,45	29,18,12
73,138,44	188,165,124	19,26,45	28,19,12
72,132,42	174,151,135	19,26,44	27,18,11
75,135,45	174,151,135	19,26,44	27,18,13
76,139,48	169,146,128	51,70,129	7,7,7
110,166,77	159,124,104	53,75,133	7,7,7
109,164,73	156,121,99	54,78,142	8,8,8
106,159,71	150,116,89	52,80,145	7,9,8
95,148,80	176,155,150	52,81,149	8,8,8
95,148,78	175,151,147	57,82,162	20,18,19
89,145,72	171,148,142	56,83,160	27,23,22
74,129,48	190,156,129	56,84,158	35,32,25
69,127,43	189,155,128	57,85,159	40,33,25
68,127,43	184,153,124	63,91,165	43,32,28
53,115,29	190,166,128	56,77,144	8,8,8
54,116,30	189,165,127	59,78,137	7,7,7
58,121,32	188,164,126	64,79,136	8,8,10
53,111,26	124,122,109	87,110,177	8,9,13
54,112,25	128,126,111	109,140,255	8,9,11
54,112,27	131,128,113	38,60,107	19,14,10
93,140,70	163,138,107	38,60,107	18,13,10
103,148,79	179,155,119	38,60,107	17,12,9
107,152,85	189,167,128	40,63,107	16,11,8
67,127,29	140,106,107	40,63,105	14,10,7
69,129,31	136,100,104	64,84,143	15,11,10
67,129,30	136,100,104	86,108,193	15,9,9
107,163,76	139,103,103	104,132,255	15,9,9
104,159,68	143,107,107	96,126,212	16,10,10
102,155,67	146,110,110	96,114,186	17,11,11
102,155,87	126,99,92	86,107,196	41,24,14
99,155,84	131,103,99	72,96,168	40,23,13
92,148,75	135,107,103	84,113,205	37,23,12
74,129,48	199,195,108	93,121,255	38,21,11
69,127,43	197,192,108	82,109,200	35,21,12
67,126,42	196,190,106	24,48,86	6,8,7
53,115,29	186,172,83	22,46,84	6,6,6
54,116,30	185,172,80	20,44,82	5,7,6
57,120,31	190,179,90	19,43,79	5,7,6
52,112,22	193,183,86	19,43,79	7,9,8
52,112,22	193,184,91	59,79,150	26,25,21
51,114,23	195,186,95	60,80,141	31,28,23
95,141,76	208,199,108	68,86,148	38,34,25
103,148,83	207,200,112	91,108,178	42,35,25
106,151,86	206,199,111	94,110,187	43,32,26
67,127,29	139,103,107	42,65,109	9,7,8
69,129,31	135,99,103	41,63,110	8,6,7
68,130,31	136,102,103	41,64,108	6,6,8
101,156,65	140,101,102	41,64,108	7,6,11
99,154,61	143,104,105	43,64,107	6,7,11
97,152,59	144,108,108	64,85,138	17,12,8
103,156,88	124,99,94	93,115,198	16,11,8
101,157,86	133,105,102	106,134,234	15,10,7
92,148,75	135,107,104	106,135,227	13,9,6
72,130,46	199,195,108	107,132,224	12,8,7
69,129,43	194,189,105	79,105,189	16,11,8
65,128,39	191,186,102	74,97,173	16,11,8
52,115,26	188,174,85	70,94,166	18,10,8
54,117,26	185,174,84	73,99,174	19,11,9
57,120,29	191,180,91	70,97,176	18,13,10
52,112,22	195,185,88	24,48,86	53,31,17
52,112,22	194,185,94	22,46,84	52,30,16
49,112,21	197,187,98	19,43,81	50,28,14
103,147,84	206,197,104	19,42,76	50,28,14
103,149,84	206,199,109	20,44,78	50,28,15
104,150,86	205,198,110	60,83,153	6,8,7
67,127,29	136,100,104	60,82,155	6,8,7
68,130,31	134,98,102	63,86,154	6,8,7
68,130,31	137,103,104	65,89,153	5,7,6
69,122,42	140,101,102	66,87,150	6,7,9
70,125,44	141,102,103	44,66,113	32,31,26
69,124,43	143,107,107	45,67,114	35,32,25
64,122,38	123,98,93	43,66,110	40,36,25
63,121,36	131,103,100	42,65,109	45,37,26
64,122,37	136,108,105	43,65,106	46,33,25
77,131,55	198,194,107	57,82,138	6,6,8
82,134,59	196,191,107	64,86,143	5,6,8
84,136,62	196,191,107	74,95,148	4,5,7
72,130,54	192,178,90	88,112,184	5,6,8
68,126,50	189,178,88	104,127,239	6,7,9
67,125,51	191,180,91	60,87,164	15,11,8
84,141,60	196,186,89	59,87,160	14,10,7
86,143,62	196,187,96	56,83,154	13,9,6
89,144,63	198,188,99	50,79,139	13,9,8
111,159,83	205,196,103	55,84,154	12,8,7
106,155,74	205,198,108	23,49,86	17,12,8
101,151,66	205,198,110	22,48,85	17,12,8
76,137,34	210,199,117	19,45,82	19,11,9
80,141,38	213,204,125	18,42,78	19,11,9
76,137,34	220,211,132	20,44,80	20,12,10
69,122,44	212,200,124	57,81,153	8,9,14
70,123,45	214,202,126	59,83,155	9,8,14
72,125,47	213,201,125	60,85,152	8,7,12
64,122,38	195,189,95	61,84,151	7,7,9
64,122,37	193,188,94	63,86,154	8,8,10
65,123,38	193,188,94	48,70,117	6,10,13
74,128,52	180,170,117	48,70,117	7,11,14
78,132,56	179,168,112	46,69,113	6,10,11
81,135,59	180,169,113	43,66,108	6,10,9
72,129,52	179,167,95	44,67,108	8,9,11
66,127,49	177,167,95	49,79,151	13,15,14
66,127,49	175,166,91	58,83,149	14,15,17
84,141,60	209,195,132	61,87,146	13,14,16
87,142,61	214,199,140	72,101,171	15,16,18
88,143,62	213,201,141	83,109,194	15,15,17
106,155,76	208,199,120	50,82,155	7,8,13
107,156,75	213,204,127	51,84,161	7,8,12
105,157,72	219,212,134	53,86,167	7,8,12
79,140,37	209,200,123	50,82,157	8,8,10
78,139,36	211,202,125	43,75,148	8,8,10
75,136,32	209,200,123	22,48,83	9,10,12
68,121,43	194,190,91	22,48,83	7,11,12
69,122,44	195,190,96	19,45,80	6,10,11
69,122,44	195,190,98	17,41,77	8,10,9
65,123,39	184,174,123	19,43,79	8,9,11
65,123,39	182,173,116	57,83,157	10,16,14
66,124,40	183,172,116	57,84,155	10,16,14
72,126,50	177,164,96	58,84,158	11,15,14
76,130,54	178,165,95	61,85,159	11,15,14
79,133,57	175,165,93	62,86,156	11,15,14
71,128,51	214,200,137	49,71,118	7,8,13
66,127,49	215,203,143	50,74,118	7,8,12
67,128,50	214,202,144	51,76,117	8,9,13
85,142,61	208,199,120	51,73,114	9,9,11
85,140,59	210,201,124	52,71,114	9,9,11
87,142,61	214,205,128	51,81,143	9,10,12
106,155,76	208,199,122	58,86,151	7,11,12
107,156,75	210,201,124	71,98,175	6,10,11
106,158,73	209,200,123	74,105,185	8,10,9
82,143,39	197,193,94	84,112,212	7,8,10
79,138,32	197,192,98	52,85,166	10,16,14
74,136,27	197,192,100	55,90,172	10,16,14
76,146,21	189,179,128	51,87,175	11,15,14
79,149,24	186,177,120	43,79,157	11,15,14
84,152,29	186,175,119	41,76,160	11,15,14
78,146,23	177,163,98	22,48,81	5,9,12
78,148,26	177,164,96	21,47,80	6,10,13
77,147,25	174,164,93	19,45,78	7,11,12
112,168,79	218,203,144	18,42,76	7,11,10
113,169,82	217,204,149	20,44,78	6,10,9
112,170,83	217,204,151	67,101,172	10,11,15
76,138,29	180,170,98	62,99,169	10,11,13
76,140,28	180,171,96	56,93,161	9,10,12
82,141,31	182,171,92	59,94,160	10,10,10
73,142,36	194,187,119	66,101,167	6,10,11
75,142,37	194,185,120	26,47,66	11,15,14
77,144,41	189,178,112	28,46,66	10,16,14
72,137,43	159,159,45	27,45,65	11,15,14
75,141,43	159,159,45	26,47,66	11,15,14
77,145,44	160,158,47	27,50,68	11,15,14
118,169,77	201,186,85	48,90,166	5,9,12
124,175,83	199,184,81	36,77,156	6,10,13
122,175,83	199,184,81	38,81,159	6,10,13
75,145,20	188,172,95	38,81,159	6,10,11
79,149,24	189,172,94	41,84,162	6,10,11
82,150,27	189,172,92	80,117,198	12,13,17
78,148,26	175,182,79	85,122,203	10,11,13
77,148,26	178,186,85	83,120,200	9,10,12
79,150,28	181,188,92	72,109,190	9,9,9
113,172,80	172,157,88	66,103,191	8,12,13
113,172,82	176,161,92	39,70,150	10,14,13
111,171,81	176,161,92	33,64,146	10,16,14
80,142,33	181,171,102	32,63,145	11,15,14
78,142,30	182,172,101	37,65,148	10,14,13
79,139,26	184,172,98	39,67,150	11,15,14
71,140,34	190,183,115	75,111,205	13,15,14
75,142,37	190,181,114	90,128,213	12,14,13
77,144,41	188,177,111	93,130,211	8,12,11
71,138,43	160,160,46	89,121,198	8,12,11
75,143,44	160,160,46	95,121,195	10,12,11
73,141,38	160,160,46	87,127,222	13,11,12
116,167,72	193,178,77	87,128,220	12,12,12
119,170,77	193,178,75	81,124,216	11,11,11
119,172,80	196,181,78	82,127,220	8,10,9
72,145,14	188,172,95	81,127,221	8,10,9
77,148,20	188,171,93	68,102,173	7,8,10
82,151,26	188,171,91	62,99,169	7,8,10
78,148,26	178,184,86	59,96,164	8,10,9
77,148,30	180,187,91	69,104,168	5,9,10
77,148,28	182,189,94	72,107,173	5,9,8
114,173,81	170,155,86	22,43,62	17,15,16
113,172,82	174,159,90	24,42,62	16,14,15
110,170,80	176,161,92	24,42,62	15,13,16
82,146,34	180,173,105	23,44,63	16,14,17
80,144,30	180,173,105	23,46,62	17,15,18
78,142,28	181,173,101	50,91,170	16,11,8
66,135,29	186,179,107	41,82,162	14,10,9
70,139,33	186,178,106	35,78,157	13,9,8
75,142,37	185,177,105	37,80,158	12,8,7
72,139,46	162,162,52	41,84,162	13,9,8
71,139,40	161,161,47	77,115,200	25,24,20
70,138,35	160,160,46	83,119,205	26,27,22
112,164,66	186,172,67	75,111,197	24,25,20
114,165,70	189,175,70	68,105,194	22,23,18
115,169,73	194,180,75	61,98,189	20,21,16
87,152,70	184,172,90	39,67,150	12,12,10
92,157,75	188,173,90	32,65,146	10,12,11
84,149,65	188,173,88	30,63,144	8,9,11
100,157,86	185,192,99	34,65,147	9,9,11
102,157,89	188,195,102	40,68,151	9,9,11
104,156,90	187,194,101	81,118,207	14,16,15
75,138,47	173,156,84	85,123,206	13,15,14
74,139,45	174,160,89	88,125,203	11,13,12
74,140,43	176,162,91	99,132,203	11,12,14
58,123,31	183,161,101	97,124,191	10,11,13
55,120,30	182,160,100	93,133,228	13,13,13
52,117,27	177,157,98	93,134,224	13,13,13
73,136,47	149,137,99	81,124,216	11,11,11
71,136,46	147,138,99	76,121,214	10,10,10
73,136,45	146,137,98	75,121,215	9,11,8
53,106,26	135,114,71	65,102,170	7,8,10
53,106,28	132,111,68	67,105,170	6,7,9
52,105,27	131,110,65	77,115,178	7,9,8
66,121,40	180,167,112	95,131,193	6,10,11
65,120,39	178,166,106	99,133,196	6,10,9
65,122,41	175,164,100	19,40,57	18,16,17
84,149,65	113,92,75	20,41,58	17,15,16
87,150,69	120,93,74	23,42,59	14,12,15
86,149,68	123,95,74	21,42,59	14,12,15
96,153,82	97,78,63	20,43,57	14,12,15
100,155,87	100,80,69	54,92,173	12,11,9
104,156,90	105,85,76	46,87,167	12,11,9
76,139,48	196,177,109	39,81,163	10,10,10
77,142,48	193,174,106	39,80,160	10,10,10
79,143,47	192,173,107	39,80,160	11,10,8
61,126,34	198,181,138	67,107,192	23,22,18
57,122,32	196,181,138	67,107,195	20,22,19
53,118,28	196,181,138	65,104,195	19,21,16
71,134,45	180,158,98	61,100,193	19,20,15
70,135,45	179,157,97	55,95,190	18,19,14
71,134,43	175,155,96	38,66,149	16,16,14
57,110,28	146,134,94	34,65,147	12,14,13
57,110,28	146,134,94	34,65,147	8,9,11
58,109,30	146,134,94	35,66,148	9,9,11
62,117,36	133,112,69	41,69,152	10,10,12
63,118,37	131,110,67	86,122,208	16,18,17
63,120,39	129,108,63	89,125,209	14,16,15
82,148,61	174,162,104	97,130,207	13,15,14
83,147,63	174,162,102	113,144,211	12,13,15
89,150,70	169,158,94	143,168,232	11,12,14
91,151,79	111,90,73	88,131,225	13,13,13
94,151,80	115,88,69	88,133,224	13,13,13
96,151,83	123,95,74	76,121,214	11,11,11
77,140,49	97,78,63	68,113,206	11,11,11
79,144,50	97,77,66	69,114,207	12,12,10
81,145,49	100,80,71	71,109,174	8,8,10
62,127,35	195,178,109	74,112,177	6,7,9
58,123,33	191,174,105	96,132,194	7,9,8
53,119,29	191,172,104	117,152,210	6,10,11
68,131,42	194,177,134	123,155,216	6,10,9
71,136,46	192,177,134	18,39,56	16,16,16
72,137,45	194,179,136	20,41,58	18,16,17
58,111,29	178,157,94	24,43,60	16,14,17
60,113,31	176,155,92	21,42,59	13,11,14
61,112,33	174,154,93	18,41,55	12,12,14
55,112,31	146,131,92	47,85,166	11,10,8
58,115,34	146,132,93	44,85,167	10,10,10
59,116,35	145,131,92	43,85,169	9,9,9
92,152,64	134,115,72	40,81,163	9,9,9
91,151,63	134,117,74	35,76,158	9,9,9
80,144,50	135,118,74	67,109,195	20,19,15
77,141,44	166,155,93	63,102,195	19,21,18
79,141,42	172,161,97	62,101,196	18,20,15
78,140,39	175,164,102	56,96,194	17,18,13
93,145,71	103,84,67	52,92,190	16,17,12
90,142,68	112,85,64	42,69,148	23,24,19
87,141,65	121,93,71	37,68,148	16,18,17
92,154,71	98,79,62	38,69,149	9,10,12
91,150,70	94,75,61	39,68,148	9,9,11
87,146,66	93,73,64	38,67,147	10,10,10
85,147,61	194,176,110	92,127,209	16,18,17
76,140,53	191,174,105	92,127,208	15,17,16
78,142,56	189,170,102	98,132,206	14,16,15
86,140,64	189,171,131	135,164,230	14,15,17
81,138,61	190,172,132	169,195,254	13,14,16
84,142,65	194,176,136	75,118,213	12,12,12
66,119,47	194,194,62	76,121,214	10,10,10
66,120,45	198,199,63	74,119,212	10,10,10
70,122,50	197,198,60	70,115,208	13,13,11
96,154,70	203,199,63	71,114,206	15,14,12
88,147,63	200,196,60	83,121,184	8,8,10
81,144,55	200,197,64	82,118,180	6,7,9
81,145,51	178,183,83	91,127,185	6,7,9
83,145,48	179,184,84	110,145,199	5,9,10
80,142,43	179,184,82	111,142,197	5,9,8
88,141,69	179,187,88	19,41,55	13,13,13
87,141,66	176,184,83	23,42,57	15,13,14
84,141,64	175,183,82	24,43,60	14,12,15
90,152,69	167,169,85	21,43,57	12,10,13
92,151,71	170,170,84	19,41,55	11,11,13
91,150,70	176,175,92	44,85,164	7,9,8
82,145,56	196,186,91	43,85,167	8,9,11
77,142,52	197,184,88	42,87,170	5,9,10
79,144,54	196,183,87	40,81,163	5,9,10
87,141,66	202,179,129	36,76,161	5,9,10
82,138,63	200,177,125	61,105,192	17,16,14
87,145,69	205,182,130	57,100,192	14,16,15
64,118,43	195,166,126	55,97,195	14,16,13
65,119,44	197,167,129	54,96,196	15,15,13
73,125,53	197,169,130	53,95,195	14,15,10
100,155,72	192,192,58	43,70,149	29,30,25
92,149,68	198,199,63	42,71,151	19,21,20
87,147,59	198,199,61	42,71,151	10,11,13
85,146,53	203,200,61	38,67,147	10,10,12
85,146,51	201,197,61	34,63,143	10,10,10
81,143,46	198,195,62	104,140,218	15,15,15
86,139,67	178,183,81	101,137,215	16,16,16
84,138,63	178,183,81	99,131,204	17,17,17
83,140,63	179,184,82	117,146,212	16,17,19
89,151,68	182,190,91	159,185,244	16,17,19
96,155,75	179,187,86	67,111,206	11,11,11
101,158,81	178,186,85	70,117,209	10,10,10
82,147,53	165,167,83	72,118,212	10,10,10
83,148,54	170,170,84	77,122,215	13,13,11
81,146,54	177,176,93	79,123,212	16,15,13
92,148,75	198,185,93	40,86,164	8,9,13
89,145,72	198,185,91	42,84,160	7,8,12
95,151,78	197,184,90	41,81,153	4,8,9
61,120,40	201,178,126	36,76,146	4,8,9
69,123,48	199,176,124	31,71,140	4,8,9
